char,pict,season,freq,valence,arousal
michael,michael,1,642,5.389410222444233,4.086394961121363
dwight,dwight,1,326,4.83867268011791,3.7383846678706023
jim,jim,1,285,4.8749917489893155,3.7281198334991594
pam,pam,1,219,3.9128072795605067,3.200044513535418
andy,andy,1,0,nan,nan
kevin,kevin,1,30,5.058198322180569,3.3969960799576886
angela,angela,1,32,4.38043493457421,3.5234748018687947
oscar,oscar,1,58,5.388406472879785,3.6729178408081453
erin,erin,1,0,nan,nan
ryan,ryan,1,52,4.823029351095967,3.4340053487287254
michael,michael,2,2324,4.959742334213665,3.7843946299661044
dwight,dwight,2,1114,4.758592179754369,3.7294634379653164
jim,jim,2,906,4.672921546840124,3.4823680573631486
pam,pam,2,729,4.679778689968385,3.5905322634098193
andy,andy,2,0,nan,nan
kevin,kevin,2,157,4.604969269490652,3.5860987380952754
angela,angela,2,162,4.556471767070616,3.530703209092225
oscar,oscar,2,130,4.316758839904839,3.391539008990219
erin,erin,2,0,nan,nan
ryan,ryan,2,227,4.407953136039857,3.4358947398997315
michael,michael,3,1990,5.062062778338467,3.869244603041011
dwight,dwight,3,939,4.834057700447544,3.870384629861984
jim,jim,3,783,4.593692906752937,3.4639002415477256
pam,pam,3,665,4.654633141560725,3.449906703197261
andy,andy,3,391,5.162521331545661,3.9457079512020514
kevin,kevin,3,212,4.97778246544267,3.8327600987913018
angela,angela,3,243,4.953125187356443,3.789564003436555
oscar,oscar,3,72,5.298071732631902,4.094843110008679
erin,erin,3,0,nan,nan
ryan,ryan,3,197,4.679209469996132,3.632527964858431
michael,michael,4,1633,5.020554974342355,3.860218915278064
dwight,dwight,4,547,4.7789158863568275,3.6868711120280335
jim,jim,4,684,4.616480357728034,3.549141915185285
pam,pam,4,528,4.567228459452431,3.451485103075178
andy,andy,4,223,5.1385738086310155,3.816425750605007
kevin,kevin,4,141,4.26575291659843,3.4981926669646275
angela,angela,4,193,4.415450332613886,3.563804708304763
oscar,oscar,4,111,4.970576434085901,3.754431793746238
erin,erin,4,0,nan,nan
ryan,ryan,4,228,4.940863240867166,3.6270058798948313
michael,michael,5,2163,4.9014474171833085,3.7172726980319735
dwight,dwight,5,1074,4.845033068046804,3.844167347954132
jim,jim,5,875,4.720665147009448,3.6483207784283755
pam,pam,5,706,4.8569903299985135,3.619752350968754
andy,andy,5,497,4.88652841295808,3.7820454637925347
kevin,kevin,5,187,5.1225718645340255,3.897537318616539
angela,angela,5,221,4.69594651599252,3.5968373339598037
oscar,oscar,5,216,4.967389150092585,3.735562942742252
erin,erin,5,53,4.682001952598564,3.499852600007237
ryan,ryan,5,169,4.936027180519635,3.8280741322349012
michael,michael,6,1983,4.90185189200294,3.7471737801900016
dwight,dwight,6,811,4.96153615424022,3.923033968378251
jim,jim,6,928,4.723548022259676,3.5794221077715416
pam,pam,6,706,4.727651335315737,3.631771948626018
andy,andy,6,538,5.089960177569277,3.9235014493134193
kevin,kevin,6,228,4.608453309927348,3.6528409806018063
angela,angela,6,136,4.553356473669855,3.6947113429820364
oscar,oscar,6,177,4.802822239818763,3.7645677496423784
erin,erin,6,298,5.1973387535572915,3.943502716295574
ryan,ryan,6,125,4.6068688091143875,3.6845370055097173
michael,michael,7,1401,5.082368760036562,3.92188489355372
dwight,dwight,7,703,4.907960499383106,3.85569941458049
jim,jim,7,687,4.691772566802227,3.6306225785087913
pam,pam,7,612,5.092692231981942,3.9465332318171384
andy,andy,7,557,5.0094620767896485,3.8584417528686856
kevin,kevin,7,240,5.113213402456446,3.9947987502214772
angela,angela,7,161,4.641208983751552,3.4736780863293655
oscar,oscar,7,197,4.705598155162027,3.579635723311301
erin,erin,7,311,4.9546750450720385,3.879756250923387
ryan,ryan,7,176,5.157059697884698,4.012270264571849
michael,michael,8,0,nan,nan
dwight,dwight,8,946,4.910026491301876,3.902589659485572
jim,jim,8,869,4.725031440236226,3.6395396283427615
pam,pam,8,475,4.975507904695254,3.8145956976201987
andy,andy,8,1125,5.0517805848463455,3.853500697949682
kevin,kevin,8,247,4.776248838950341,3.7178640216380767
angela,angela,8,166,4.832424428099968,3.6835170735882166
oscar,oscar,8,235,4.637613598169681,3.593632708774102
erin,erin,8,427,4.897749755492668,3.812692407823367
ryan,ryan,8,189,5.112817495136543,3.8804020453921875
michael,michael,9,2,2.902042712666618,2.5281777406667407
dwight,dwight,9,1069,5.065923113406958,3.91327165711332
jim,jim,9,798,5.182491367480596,3.941145979159101
pam,pam,9,735,4.925676365795681,3.7303728761385893
andy,andy,9,637,5.073221762240042,3.985951848585852
kevin,kevin,9,266,4.7064830298319675,3.699739385304668
angela,angela,9,381,4.652180596149964,3.6097080819867178
oscar,oscar,9,294,4.726271359153983,3.660106412402453
erin,erin,9,380,4.567832213179468,3.615626767302676
ryan,ryan,9,16,4.710993865386958,3.2901082843186122
